Size,SimdMul,Mul,SimdMulSum,MulSum,Simd Multiply Speedup,SIMD Multiply + Reduction
1000,  489.21,  111.32,  676.32,  114.92,    4.39,    5.89
2000,  545.91,  112.74,  778.69,  115.62,    4.84,    6.73
4000,  494.62,  114.27,  715.08,  115.52,    4.33,    6.19
8000,  502.31,  113.64,  700.92,  114.81,    4.42,    6.10
16000,  496.16,  113.78,  716.29,  117.18,    4.36,    6.11
32000,  499.44,  110.92,  714.36,  116.89,    4.50,    6.11
64000,  505.61,  112.92,  753.00,  114.42,    4.48,    6.58
128000,  513.83,  110.00,  730.91,  116.82,    4.67,    6.26
256000,  512.79,  112.91,  691.79,  116.37,    4.54,    5.94
512000,  485.16,  114.44,  700.00,  116.19,    4.24,    6.02
1024000,  497.90,  113.48,  688.33,  117.09,    4.39,    5.88
2048000,  501.24,  111.86,  714.08,  116.09,    4.48,    6.15
4096000,  508.36,  113.10,  750.61,  118.59,    4.49,    6.33
8192000,  504.45,  111.81,  707.84,  117.00,    4.51,    6.05
16384000,  497.13,  111.71,  702.99,  113.94,    4.45,    6.17
32768000,  513.56,  113.14,  719.12,  117.61,    4.54,    6.11
